Timestamp,Username,Total score,Role Classification,Country of Residence ,"1. Does your company offer health & wellness benefits (i.e. medical insurance coverage, employee and family assistance programs, health/body check-ups, gym membership subsidy, discounts at healthy F&B outlets, subsidy for massage therapy, etc.)?  [Score]",2a. Has your company hosted wellness/ fitness/ team building activities/ workshops within the last year? [Score],"2b. If yes to the above, which of the following topics have been covered? (select all that apply)","3. Does your company have a dedicated employee, team, or social committee responsible for company culture? [Score]","4a. Does your company support positive social activities led by employees? (i.e. sports teams, fundraisers, bake sales, yoga classes, fitness challenges, after-work social gatherings)  [Score]","4b. If yes to the above, could you please list the activities and how your company supported them?","5. Does the company provide online wellness services? (e.g. subscription to fitness/ wellness content library, meditation apps, health/fitness publications, mental health section in newsletter, healthy food ordering app, etc.)  [Score]","6a. Does your company provide access to nutritious food & beverages (e.g. daily refilled fruit, bottled mineral water, snack bars, juice, coffee, tea, healthy snack vending machines, etc.)  [Score]","6b. If yes to the above, could you please list the food & beverages provided? ","7a. Does your company provide access to health/ wellness facilities? (e.g. gym, open space for movement, meditation room, ideation room, quiet area, social area, digital library, etc.) ","7a. Does your company provide access to health/ wellness facilities? (e.g. gym, open space for movement, meditation room, ideation room, quiet area, social area, digital library, etc.)  [Score]","7b. If yes to the above, could you please list the facilities?","8a. Does your company provide access to in-office health/wellness equipment (i.e. standup desk, ergonomic chair, blue light glasses, yoga mat, stability ball, stress balls, noise-cancelling headphones, phone booths)?  [Score]","8b. If yes to the above, could you please list the equipment provided? ","9. Share 2 examples of workplace wellness practices your company is currently practicing. (e.g. monthly team building workshops, yoga classes, weekly non-work related check-ins, continuing education opportunities, etc.)  ","9. Share 2 examples of workplace wellness practices your company is currently practicing. (e.g. monthly team building workshops, yoga classes, weekly non-work related check-ins, continuing education opportunities, etc.)   [Score]","10. How does your company measure the level of your health, well-being and vitality? (e.g. health check-ups, surveys, interviews, focus groups, etc.) ","10. How does your company measure the level of your health, well-being and vitality? (e.g. health check-ups, surveys, interviews, focus groups, etc.)  [Score]",11. Name 2-3 adjectives to describe your company culture. ,11. Name 2-3 adjectives to describe your company culture.  [Score],"12. Nominate 2 of your colleagues (provide first & last name) who lead / coordinates team activities? (i.e. team socials, dim sum lunch as a team, weekend hiking, sport betting pools, games night, etc.) ","12. Nominate 2 of your colleagues (provide first & last name) who lead / coordinates team activities? (i.e. team socials, dim sum lunch as a team, weekend hiking, sport betting pools, games night, etc.)  [Score]","13. Nominate 2 of your colleagues (provide first & last name) who lead by example and/or encourages wellness? (i.e. they are knowledgeable about personal wellness, regularly attends physical activities like yoga, tai chi, fitness classes, encourages healthy eating, etc. *can be the same people as in the previous question.)","13. Nominate 2 of your colleagues (provide first & last name) who lead by example and/or encourages wellness? (i.e. they are knowledgeable about personal wellness, regularly attends physical activities like yoga, tai chi, fitness classes, encourages healthy eating, etc. *can be the same people as in the previous question.) [Score]","14. I experience POSITIVE EMOTION at work ... (e.g. joy, appreciation, confidence, laughter, fun, inspiration, etc.) ","14. I experience POSITIVE EMOTION at work ... (e.g. joy, appreciation, confidence, laughter, fun, inspiration, etc.)  [Score]","15. I experience ENGAGEMENT at work ... (e.g. focus, concentration, flow state, productivity, connection, etc.) ","15. I experience ENGAGEMENT at work ... (e.g. focus, concentration, flow state, productivity, connection, etc.)  [Score]","16. I experience POSITIVE RELATIONSHIPS at work ... (through positive interactions such as teamwork, respectful communication, acts of service/kindness, supportive discussions, constructive conversations, mentoring sessions, caring gestures, healthy competition, etc.) ","16. I experience POSITIVE RELATIONSHIPS at work ... (through positive interactions such as teamwork, respectful communication, acts of service/kindness, supportive discussions, constructive conversations, mentoring sessions, caring gestures, healthy competition, etc.)  [Score]","17. I experience MEANINGFULNESS at work ... (e.g. inspired, trusted, respected, purpose, seen and heard, acknowledged, fulfilled, growth, contribution to something greater, etc.) ","17. I experience MEANINGFULNESS at work ... (e.g. inspired, trusted, respected, purpose, seen and heard, acknowledged, fulfilled, growth, contribution to something greater, etc.)  [Score]","18. I experience ACCOMPLISHMENT at work ... (e.g. achievement, satisfaction, completion, attainment, increased self-confidence, increased self-esteem, celebration, etc.) ","18. I experience ACCOMPLISHMENT at work ... (e.g. achievement, satisfaction, completion, attainment, increased self-confidence, increased self-esteem, celebration, etc.)  [Score]","19. I experience VITALITY at work ... (i.e. high energy, nourished, energized, excited, motivated, spirited, liveliness, etc.) ","19. I experience VITALITY at work ... (i.e. high energy, nourished, energized, excited, motivated, spirited, liveliness, etc.)  [Score]",20. How many times per week do you undertake moderate to high intensity PHYSICAL ACTIVITY? (20+ minutes of continuous activity with elevated heart-rate),20. How many times per week do you undertake moderate to high intensity PHYSICAL ACTIVITY? (20+ minutes of continuous activity with elevated heart-rate) [Score],"21. How many times per week do you SOCIALIZE with colleagues? (e.g. coffee break conversations, lunch, commute, happy hour, events, etc.) ","21. How many times per week do you SOCIALIZE with colleagues? (e.g. coffee break conversations, lunch, commute, happy hour, events, etc.)  [Score]","22. How often do you give QUALITY TIME and attention to your colleagues/peers? (i.e. provide mentorship and guidance, hold space for venting, acts of kindness and thoughtfulness, spend quality non work-related time, etc.) ","22. How often do you give QUALITY TIME and attention to your colleagues/peers? (i.e. provide mentorship and guidance, hold space for venting, acts of kindness and thoughtfulness, spend quality non work-related time, etc.)  [Score]","23a. How often do you engage in vocational (job-specific) LEARNING? (i.e. online courses, technical workshops, certification/designation educational credits, post-graduate education, etc.)","23a. How often do you engage in vocational (job-specific) LEARNING? (i.e. online courses, technical workshops, certification/designation educational credits, post-graduate education, etc.) [Score]","23b. How often do you engage in personal GROWTH and development learning? (i.e. personal development retreats/events, coaching, personal training, therapy, extra-curricular courses, hobby workshops, book clubs, etc.) ","23b. How often do you engage in personal GROWTH and development learning? (i.e. personal development retreats/events, coaching, personal training, therapy, extra-curricular courses, hobby workshops, book clubs, etc.)  [Score]","24. How often do you spend time to take notice of your SURROUNDINGS? (i.e. appreciate things around you, walk in nature, journaling, meditation, observe your thoughts, moments to reflect) ","24. How often do you spend time to take notice of your SURROUNDINGS? (i.e. appreciate things around you, walk in nature, journaling, meditation, observe your thoughts, moments to reflect)  [Score]","25. How often do you feel ACKNOWLEDGED? (i.e. rewarded, complemented, recognized, supported, celebrated, awarded, concerned for, etc.) ","25. How often do you feel ACKNOWLEDGED? (i.e. rewarded, complemented, recognized, supported, celebrated, awarded, concerned for, etc.)  [Score]",26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Stress Optimization ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Mindset Coaching ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Sleep Strategies ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Social Wellbeing ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Leadership & Teamwork ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Physical Health & Fitness ],26a. Rank the following workshop topics that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6):  *Mark only one oval per row.  [Nutrition & Gut Health],"26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Job Satisfaction - Community Environment, Peer Relations, Responsibilities ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Work Stress - Workload, People Issues, Support ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Financial Reimbursement - Rewards, Pay, Benefits, Recognition ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Work Life Balance - Flexible Hours, Work From Home (WFH), Telecommunication, Remote Working, Part-Time options ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Working Conditions - Ambiance (lighting, temperature, etc.), Outer Environment (work space, ergonomics, wellness design), Inner Environment (nutrition, wellness, mental health), Culture (diversity, inclusion, respect, fairness) ]","26b. Rank the following contributors of QWL (Quality of Work Life) that you would be most keen to explore and learn (highest interest = 1 to lowest interest = 6) Mark only one oval per row. [Motivation - Engagement activities, Continuing Education, Team Building ]","Do you have any final comments, suggestions, or questions about improving the Quality of Work Life at your workplace? ","Do you have any final comments, suggestions, or questions about improving the Quality of Work Life at your workplace?  [Score]",Would you be interested in exploring an Individual or Group Coaching program?
2021/09/21 2:08:07 AM AST,1,30,"Middle Management (Manager, Senior Manager)",HK & Macau,1,1,Exercise & Fitness;Yoga,1,1,,0,0,,No,0,,0,,test,0,test,0,test,0,test,0,test,0,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,Daily,2,5,5,5,5,5,5,5,5,5,5,5,5,5,efqf,0,No thanks
2021/09/21 3:20:13 AM AST,2,29,Entry (Associate),Japan,1,0,Breathing,1,1,Softball team,0,0,,No,0,,0,,"Breathing technique, Massage  ",1,I don't know ,0,"Friendly, Respectful, Passionate ",1,"Kenta Yorozui, Tsutomu Kuriyama",1,"Ko Yamauchi, Kyohei  Morita ",1,Daily,2,Most days,2,Most days,2,Daily,2,Daily,2,Daily,2,Most day,2,Rarely / Never,0,Rarely / Never,0,Most days,2,Daily,2,Daily,2,Most days,2,6,5,6,4,3,1,2,5,4,1,2,6,2,None in the moment. ,0,"Yes, absolutely"
2021/09/21 3:25:45 AM AST,3,26,"Senior Management (Associate Director, Director, Senior Director)",Singapore,1,1,Stress management;Nutrition;Exercise & Fitness;Mindfulness;Mental Health;Leadership,1,0,,0,1,"Fruits day, Coffee, Tea, snack Vending Machiness",Yes,1,"Gym * not during covid, prayer room for muslim colleagues",1,"Stand up table, Ergonomic chair, Screen filters, noise cancelling headset","Educational talks, Health and safety week.",1,"Health check up, surveys",1,Caring and collaborative,1,"Mardiana Nossi, Ong Hui Boon",1,"Mardiana Nossi, Ong Hui Boon",1,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Once a week,0,Rarely / Never,0,Once a week,0,Once a week,0,Once a week,0,Most days,2,Half the time,0,3,1,2,4,5,6,6,1,3,6,2,4,5,Employee Assistance Program - where employees who needs a listening ear or some counselling may dial into. This is especially important in this pandemic times where mental well being can be challenged in so many ways.,1,No thanks
2021/09/21 3:33:19 AM AST,4,13,"Middle Management (Manager, Senior Manager)",Indonesia & E. Timor,1,1,Mindfulness;Mental Health;Financial Management,1,1,"Health/hobbies based club, virtual fun challenges (individual / team)",1,1,"The application varies from one location to another. But some offices offer traditional herbal medicine, other provide fruits",Yes,1,Gym,0,,"Health talk sessions, Covid-19 health and safety kit ",1,surveys and meetings (1 to 1 or group meetings),1,"dynamic, fast",1,"Clarisa Wirija, Ulya Atika",1,"Rosalia Dwita Sulistyowati, Rany Anggrainy",1,Once a week,0,Once a week,0,Half the time,0,Once a week,0,Once a week,0,Rarely / Never,0,Once a week,0,Rarely / Never,0,Rarely / Never,0,Once a week,0,Once a week,0,Rarely / Never,0,Once a week,0,6,5,5,6,4,5,5,6,6,6,6,5,5,"Thankful, curious and excited to partake in this program. Hopefully the result can be shared to the senior management team, to highlight the importance of holistic approach and from there, carve out a strategic approach in wellness management for all employees.",1,"Yes, absolutely"
2021/09/21 3:36:13 AM AST,5,29,"Middle Management (Manager, Senior Manager)",Japan,1,1,Stress management;Massarge,0,1,"Baseball, golf, futsal, Walking",1,0,,Yes,1,Central Sports Club,0,,"Walking Event, Massarge",1,Health Check (annually),1,"Speed, Passion, Teamwork, As One",1,"Chizuko Watanabe, Akiko Shimizu",1,"Yoshiyuki Sasaki, Kyohei Morita",1,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Most day,2,Most days,2,Most days,2,Once a week,0,Rarely / Never,0,Rarely / Never,0,Rarely / Never,0,4,4,5,4,4,4,4,4,4,4,5,4,4,Enjoyment is really the key to keep up your health conditions,1,"Yes, absolutely"
2021/09/21 3:52:49 AM AST,6,25,"Middle Management (Manager, Senior Manager)",Thailand,1,1,Nutrition;Exercise & Fitness;Leadership,1,1,"Sport Teams, Fundraiser, Fitness Challenge",1,1,"Salad, Fruits",Yes,1,Gym,1,Ergonomic Chair,"Weekly Check-in, Annual Health Check Up",1,"Interviews, Health Check-ups",1,"Caring, Fun, Engagement",1,"Todwisit Akaraguntrakorn , Penphat Rutthananurak",1,"Khingpai Viyanut, Chanonphawit Phatthanaphong",1,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Half the time,0,Once a week,0,Half the time,0,Half the time,0,Once a week,0,Half the time,0,Most days,2,Once a week,0,1,4,5,5,2,1,3,1,2,3,2,1,1,No,0,"Yes, absolutely"
2021/09/21 4:11:57 AM AST,7,18,"Middle Management (Manager, Senior Manager)",Thailand,1,1,Mindfulness,1,1,"Football club, Badminton Club, Running Club, Yoga Club",1,0,,Yes,1,"In Facility Gym, Massage room",1,"Stress Ball, Yoga Map, Stability ball","Mindfullness app ""Calm"", Food and beverage to home during covid19.",1,Employee Feedback ,1,"Open, Flexibility",1,"Sarayut Sarayot , Penphat Rutthananurak",1,"Khingpai Viyanut, Chanonphawit Phatthanaphong",1,Half the time,0,Daily,2,Most days,2,Half the time,0,Half the time,0,Half the time,0,Daily,2,Half the time,0,Once a week,0,Rarely / Never,0,Once a week,0,Rarely / Never,0,Half the time,0,6,3,6,6,6,6,4,3,4,4,5,5,5,No,0,"Maybe, depends on the Coach"
2021/09/21 4:17:37 AM AST,8,23,Entry (Associate),Japan,1,1,Stress management;Mental Health;Leadership,1,0,,1,0,,Yes,1,Massage room,1,"noise-cancelling earphone, portable air purifier(to be distributed)",Complete health check-up and yearly regular health check,1,health check-ups,1,"Open, positive, approachable",1,Yoshiyuki Sasaki and Tsutomu Kuriyama,1,Yoshiyuki Sasaki and Tsutomu Kuriyama,1,Most days,2,Most days,2,Daily,2,Daily,2,Most days,2,Most days,2,Rarely / Never,0,Once a week,0,Once a week,0,Rarely / Never,0,Half the time,0,Half the time,0,Half the time,0,2,1,1,3,1,1,1,2,2,1,1,1,2,Nothing,0,
2021/09/21 4:29:51 AM AST,9,23,"Middle Management (Manager, Senior Manager)",Thailand,1,1,Nutrition;Exercise & Fitness;Workplace Hygiene;COVID converge of treatment ,1,1,sport club (support cost),0,1,"water, coffee, tea",Yes,1,"gym, pray room, relax room ",1,"massage chair, yoga mat, reading corner  ",mask distribution and covid health kit ,1,"health check up, vaccine survey ",1,"Engagement, Respect& Result ",1,Sarayut Sarayot and Penphat Rutthananurak,1,Tantirak Punyanuphab and Chanonphawit Phatthanaphong ,1,Most days,2,Most days,2,Most days,2,Most days,2,Most days,2,Half the time,0,Half the time,0,Half the time,0,Half the time,0,Once a week,0,Once a week,0,Half the time,0,Half the time,0,2,2,2,2,1,1,1,2,1,2,2,2,2,How we can adapt to new way of working at post COVID,1,"Maybe, depends on the time committment"
2021/09/21 4:44:44 AM AST,10,15,"Middle Management (Manager, Senior Manager)",Japan,1,1,Stress management;Mental Health,1,1,"Music Night, Walking",0,0,,No,0,,0,,"Massage service, Birthday message",1,Health Checkup,1,"Respect, As One",1,"Yuichi Oana, Yukako Sakio",1,"Yukako Sakio, Shoko Sato",1,Most days,2,Half the time,0,Half the time,0,Half the time,0,Half the time,0,Half the time,0,Once a week,0,Most days,2,Half the time,0,Half the time,0,Most days,2,Half the time,0,Half the time,0,3,3,1,2,3,3,3,1,2,2,1,2,2,No,0,"Maybe, depends on the Coach"
2021/09/21 4:58:44 AM AST,11,21,"Senior Management (Associate Director, Director, Senior Director)",Thailand,1,0,No activity last year,1,1,Sport and Hobbies activity,1,0,,Yes,1,Digital library and meditation application,0,,None,0,Only health check ups,1,Ensure employee will be highly engaged and motivated.,1,Sinee Kesdech,0.5,Khingpai Viyanut,0.5,Most days,2,Most days,2,Most days,2,Half the time,0,Most days,2,Half the time,0,Half the time,0,Once a week,0,Half the time,0,Once a week,0,Once a week,0,Most days,2,Most days,2,2,1,1,1,2,1,1,1,2,2,1,3,1,Improve physical interaction,1,"Maybe, depends on the Coach"
2021/09/21 5:19:33 AM AST,12,21,"Middle Management (Manager, Senior Manager)",Myanmar,0,1,Mental Health,1,0,"company provide medical insurance for staff, organized mental health webinars and cover the cost of mental health counselling when needed. ",0,1,"coffee, tea, snack bar",Yes,1,provide gym room but it is closed due to covid,1,ergonomic chair,none at the moment due to covid and country's political conditions,0,nil,0,"dynamic, supportive ",1,"Tin Maung Maung, Kyay Mon Win",1,"Tin Maung Maung, Kyay Mon Win",1,Daily,2,Most days,2,Most days,2,Most days,2,Once a week,0,Most days,2,Once a week,0,Once a week,0,Most days,2,Rarely / Never,0,Rarely / Never,0,Once a week,0,Half the time,0,1,2,2,6,4,5,3,1,1,2,2,4,2,workload and internal/external unstable conditions make difficulties to improve QWL.  ,1,"Maybe, depends on the time committment"
